iter	RMSE
0	0.4990164006
1	0.4704439588
2	0.4453472131
3	0.423914586
4	0.4053032927
5	0.3894780462
6	0.3753970005
7	0.3632795556
8	0.3531410983
9	0.3447227975
10	0.33745251
11	0.3310754637
12	0.3254301182
13	0.3203858873
14	0.3163176597
15	0.313000888
16	0.3102180325
17	0.3077039527
18	0.3054417917
19	0.3036687471
20	0.3019726166
21	0.3006499436
22	0.2993453133
23	0.2979124748
24	0.2966782246
25	0.2955737562
26	0.2945421975
27	0.2937130299
28	0.292901503
29	0.292291775
30	0.2915434956
31	0.2909826813
32	0.2902085116
33	0.2897436852
34	0.2892001952
35	0.2889030966
36	0.2884770942
37	0.2880760816
38	0.2878280714
39	0.2873665669
40	0.2868689378
41	0.2863875548
42	0.2860895806
43	0.285695723
44	0.285216866
45	0.2848609479
46	0.2846605025
47	0.2844066862
48	0.2842168956
49	0.2840260077
50	0.2836666294
51	0.283456238
52	0.2833099238
53	0.2831492956
54	0.2828968035
55	0.2825991799
56	0.2823929633
57	0.282113034
58	0.2817341038
59	0.2815671942
60	0.2813933683
61	0.2811639193
62	0.2809109321
63	0.2807833481
64	0.2806671627
65	0.2805204971
66	0.2803046397
67	0.2801324917
68	0.27986223
69	0.2797127274
70	0.2793208061
71	0.2791159765
72	0.2789652231
73	0.2786629093
74	0.2784459718
75	0.2782995781
76	0.278074056
77	0.2778569076
78	0.2775340354
79	0.2774623455
80	0.2772870201
81	0.2771039086
82	0.2769826509
83	0.2767846471
84	0.2764878792
85	0.2763429871
86	0.2761916584
87	0.2761373107
88	0.2760069634
89	0.2758328389
90	0.2756411291
91	0.2753926384
92	0.2752327637
93	0.2750604425
94	0.2749056043
95	0.2747907917
96	0.2747039646
97	0.2745855723
98	0.274449581
99	0.2742712694
100	0.2741077354
101	0.2740308257
102	0.2739004355
103	0.2737708436
104	0.2736044712
105	0.2734322825
106	0.2732786078
107	0.2730340706
108	0.2727840987
109	0.2727261952
110	0.272649258
111	0.2724930633
112	0.2723408791
113	0.2721885007
114	0.2720884406
115	0.2718581345
116	0.2717352234
117	0.2717093174
118	0.2716105367
119	0.2715142799
120	0.2712921084
121	0.2712031881
122	0.2710490306
123	0.2708681256
124	0.2707636744
125	0.2705871322
126	0.2704658905
127	0.2703540833
128	0.2701017437
129	0.2700540635
130	0.2700164912
131	0.2698991086
132	0.2698875322
133	0.2696968116
134	0.2696847004
135	0.2695347171
136	0.2692889756
137	0.2690765128
138	0.2690642924
139	0.2688857463
140	0.2687367737
141	0.2685039353
142	0.2683386987
143	0.2683292075
144	0.2681312323
145	0.2680127759
146	0.2677011186
147	0.267500163
148	0.2672834171
149	0.2666637445
150	0.266487252
151	0.2663286069
152	0.2662140619
153	0.2661113666
154	0.2659849961
155	0.2657417037
156	0.2655922225
157	0.2654845077
158	0.2653599381
159	0.2653499669
160	0.2650662897
161	0.2648917856
162	0.2648826373
163	0.2646998611
164	0.2646923107
165	0.264588266
166	0.2644395651
167	0.2643001844
168	0.2640171857
169	0.2640100687
170	0.263932901
171	0.2637783234
172	0.2635801059
173	0.2635222789
174	0.2633181764
175	0.2633100951
176	0.2633023811
177	0.263160173
178	0.2630055729
179	0.2627096106
180	0.2626591696
181	0.262532802
182	0.2623089802
183	0.2620949315
184	0.2619634616
185	0.261861713
186	0.2617357264
187	0.2615925453
188	0.2614759074
189	0.2613588386
190	0.2613312828
191	0.2612579838
192	0.2611142799
193	0.2611060097
194	0.2609591065
195	0.2607587443
196	0.2607046763
197	0.2606126743
198	0.2604746614
199	0.2603264867
