iter	Passed	Remaining
0	197	39253
1	242	24048
2	272	17893
3	299	14678
4	327	12757
5	353	11426
6	380	10481
7	408	9815
8	436	9254
9	463	8801
10	491	8450
11	520	8147
12	553	7962
13	588	7821
14	618	7629
15	653	7518
16	687	7398
17	719	7278
18	751	7163
19	780	7022
20	810	6909
21	838	6785
22	865	6658
23	892	6542
24	919	6435
25	945	6330
26	973	6236
27	1001	6150
28	1028	6063
29	1056	5984
30	1084	5910
31	1111	5834
32	1138	5762
33	1165	5689
34	1192	5622
35	1220	5558
36	1248	5498
37	1275	5436
38	1302	5375
39	1329	5319
40	1357	5264
41	1385	5211
42	1413	5162
43	1441	5109
44	1467	5056
45	1497	5011
46	1523	4960
47	1551	4912
48	1579	4868
49	1607	4822
50	1635	4777
51	1662	4731
52	1688	4682
53	1714	4634
54	1740	4588
55	1768	4546
56	1797	4508
57	1824	4465
58	1854	4432
59	1883	4395
60	1911	4355
61	1939	4316
62	1968	4280
63	1995	4239
64	2023	4201
65	2048	4159
66	2073	4116
67	2100	4078
68	2126	4037
69	2153	3998
70	2178	3958
71	2204	3919
72	2230	3880
73	2257	3844
74	2283	3805
75	2309	3768
76	2334	3729
77	2362	3694
78	2388	3658
79	2414	3622
80	2440	3585
81	2470	3554
82	2495	3517
83	2520	3481
84	2546	3445
85	2572	3410
86	2597	3374
87	2623	3339
88	2649	3304
89	2673	3268
90	2698	3232
91	2724	3198
92	2751	3165
93	2778	3133
94	2808	3104
95	2836	3072
96	2863	3040
97	2889	3007
98	2916	2975
99	2942	2942
100	2969	2910
101	2999	2882
102	3029	2853
103	3058	2823
104	3086	2792
105	3116	2763
106	3144	2733
107	3173	2702
108	3198	2670
109	3227	2640
110	3252	2608
111	3278	2575
112	3302	2542
113	3328	2511
114	3352	2477
115	3378	2446
116	3403	2414
117	3431	2384
118	3460	2355
119	3486	2324
120	3514	2294
121	3540	2263
122	3568	2233
123	3594	2203
124	3622	2173
125	3649	2143
126	3674	2112
127	3699	2081
128	3727	2051
129	3756	2022
130	3781	1991
131	3807	1961
132	3833	1931
133	3860	1901
134	3886	1871
135	3913	1841
136	3938	1811
137	3965	1781
138	3991	1751
139	4018	1722
140	4047	1693
141	4076	1665
142	4103	1635
143	4131	1606
144	4157	1577
145	4185	1547
146	4215	1519
147	4243	1490
148	4270	1461
149	4300	1433
150	4330	1405
151	4356	1375
152	4385	1347
153	4411	1317
154	4438	1288
155	4464	1259
156	4491	1230
157	4517	1200
158	4542	1171
159	4569	1142
160	4595	1113
161	4619	1083
162	4646	1054
163	4671	1025
164	4695	996
165	4723	967
166	4746	937
167	4773	909
168	4798	880
169	4822	851
170	4848	822
171	4873	793
172	4899	764
173	4924	735
174	4951	707
175	4981	679
176	5010	651
177	5037	622
178	5064	594
179	5091	565
180	5117	537
181	5146	509
182	5172	480
183	5198	452
184	5224	423
185	5250	395
186	5277	366
187	5302	338
188	5328	310
189	5353	281
190	5378	253
191	5408	225
192	5443	197
193	5471	169
194	5500	141
195	5529	112
196	5559	84
197	5584	56
198	5611	28
199	5637	0
