iter	RMSE
0	0.4934069944
1	0.4640419118
2	0.4393716292
3	0.4178519433
4	0.3988231877
5	0.3822390567
6	0.3680955787
7	0.3563914116
8	0.3459311899
9	0.3370025929
10	0.329647618
11	0.3229561673
12	0.3172246792
13	0.3123253487
14	0.3083277987
15	0.3046669273
16	0.3018050124
17	0.2990933173
18	0.2969702299
19	0.2948831436
20	0.2928888583
21	0.2914040625
22	0.2900927233
23	0.2889501271
24	0.2884089865
25	0.2875199725
26	0.2864499068
27	0.2857311956
28	0.285080219
29	0.2844338197
30	0.2835455594
31	0.2829925439
32	0.2824329849
33	0.2819517273
34	0.2813380583
35	0.2810427996
36	0.2806671793
37	0.2802791551
38	0.280047949
39	0.2795375276
40	0.279309842
41	0.2792740333
42	0.2789223105
43	0.2787412084
44	0.2783197775
45	0.2781828564
46	0.2780548843
47	0.2777169448
48	0.2774049295
49	0.277027622
50	0.2765871644
51	0.2763857868
52	0.276143836
53	0.2760286969
54	0.2758496019
55	0.2757157048
56	0.2754951085
57	0.2751919059
58	0.2748930952
59	0.2747198293
60	0.2746270126
61	0.2742780747
62	0.2740530502
63	0.2738108722
64	0.2735820172
65	0.2732855353
66	0.27318295
67	0.2729699583
68	0.2728854492
69	0.2726269163
70	0.2724553406
71	0.2723198266
72	0.2722369017
73	0.2720528442
74	0.2718522822
75	0.2715938991
76	0.271467319
77	0.2710708478
78	0.2709695747
79	0.2708252353
80	0.2706505471
81	0.2705056772
82	0.2703449591
83	0.2701544652
84	0.2700332693
85	0.2699685221
86	0.2699288286
87	0.2698509233
88	0.2696959756
89	0.2696359119
90	0.2694778598
91	0.2693936413
92	0.2692656732
93	0.2691767205
94	0.2690628738
95	0.2689670637
96	0.2688806021
97	0.268823597
98	0.268720934
99	0.2685647692
100	0.2684462656
101	0.268383199
102	0.2682261508
103	0.2681211566
104	0.268044367
105	0.2678758561
106	0.2676721616
107	0.2674874422
108	0.2674376517
109	0.2673561454
110	0.2672295982
111	0.2672162712
112	0.2670246373
113	0.2669267043
114	0.2666761015
115	0.2665694213
116	0.2665445497
117	0.2663647186
118	0.2660181217
119	0.2657252164
120	0.2654461013
121	0.2653354464
122	0.2652206256
123	0.2652101565
124	0.2650999854
125	0.2649745452
126	0.2647599014
127	0.2646619434
128	0.264616583
129	0.2646058325
130	0.2644334413
131	0.2642913326
132	0.2642183416
133	0.264086797
134	0.2638452906
135	0.2635936924
136	0.2634843109
137	0.2633232323
138	0.2633128387
139	0.2633030624
140	0.2632884531
141	0.2632708592
142	0.2632622621
143	0.2630877053
144	0.2629281315
145	0.2628402726
146	0.2625953361
147	0.2623732206
148	0.2622598038
149	0.2621606115
150	0.2621065367
151	0.2618183016
152	0.2616986439
153	0.2615000689
154	0.2612446025
155	0.2611707233
156	0.2609926217
157	0.2607735515
158	0.2607613359
159	0.2607517522
160	0.260550201
161	0.2602637086
162	0.2601649747
163	0.2601567227
164	0.2600651192
165	0.2597606781
166	0.25958025
167	0.2592970869
168	0.2592907267
169	0.2592519776
170	0.2592434988
171	0.259046147
172	0.258926397
173	0.2587688728
174	0.2585709726
175	0.2583672892
176	0.2581874236
177	0.2580570634
178	0.2577987009
179	0.2576084972
180	0.257601734
181	0.2574361849
182	0.2572995711
183	0.2571567986
184	0.2569118877
185	0.2566906066
186	0.25658515
187	0.2564723308
188	0.2563531175
189	0.2562060586
190	0.2560016988
191	0.2557768867
192	0.2555216417
193	0.2554208864
194	0.2552382188
195	0.2550255945
196	0.2549478512
197	0.25486907
198	0.254699974
199	0.2544796559
