iter	Passed	Remaining
0	174	34767
1	210	20865
2	247	16265
3	282	13829
4	317	12386
5	357	11567
6	393	10837
7	434	10427
8	476	10112
9	514	9767
10	557	9578
11	604	9463
12	647	9318
13	686	9123
14	726	8962
15	768	8839
16	806	8678
17	843	8524
18	883	8413
19	920	8288
20	970	8269
21	1049	8490
22	1111	8550
23	1154	8465
24	1159	8118
25	1201	8043
26	1242	7963
27	1284	7889
28	1325	7816
29	1367	7746
30	1408	7680
31	1451	7617
32	1493	7559
33	1534	7493
34	1575	7426
35	1617	7370
36	1659	7308
37	1703	7262
38	1752	7234
39	1798	7193
40	1847	7164
41	1853	6970
42	1900	6939
43	1946	6899
44	1999	6888
45	2046	6852
46	2090	6806
47	2133	6755
48	2181	6723
49	2224	6673
50	2270	6632
51	2319	6600
52	2364	6558
53	2409	6514
54	2461	6488
55	2504	6440
56	2553	6406
57	2598	6362
58	2647	6326
59	2696	6292
60	2740	6245
61	2788	6206
62	2834	6163
63	2884	6130
64	2928	6081
65	2973	6037
66	3017	5990
67	3068	5956
68	3117	5918
69	3169	5885
70	3217	5845
71	3263	5802
72	3310	5758
73	3356	5715
74	3398	5664
75	3441	5614
76	3481	5560
77	3521	5508
78	3562	5455
79	3602	5404
80	3640	5347
81	3678	5293
82	3719	5242
83	3757	5188
84	3796	5136
85	3835	5084
86	3873	5031
87	3912	4979
88	3952	4929
89	3990	4877
90	4029	4827
91	4068	4776
92	4109	4728
93	4153	4684
94	4194	4636
95	4238	4591
96	4280	4545
97	4325	4501
98	4376	4465
99	4421	4421
100	4469	4380
101	4516	4338
102	4559	4293
103	4599	4245
104	4636	4195
105	4675	4146
106	4714	4097
107	4751	4047
108	4789	3998
109	4826	3948
110	4863	3899
111	4903	3853
112	4942	3805
113	4980	3757
114	5016	3707
115	5052	3658
116	5088	3609
117	5124	3561
118	5160	3512
119	5196	3464
120	5232	3415
121	5268	3368
122	5304	3320
123	5339	3272
124	5374	3224
125	5410	3177
126	5448	3131
127	5483	3084
128	5520	3038
129	5555	2991
130	5592	2945
131	5629	2899
132	5665	2853
133	5708	2811
134	5752	2769
135	5794	2726
136	5834	2682
137	5871	2638
138	5908	2593
139	5943	2547
140	5979	2501
141	6014	2456
142	6051	2412
143	6087	2367
144	6123	2322
145	6158	2277
146	6193	2233
147	6228	2188
148	6265	2144
149	6299	2099
150	6334	2055
151	6370	2011
152	6405	1967
153	6440	1923
154	6476	1880
155	6513	1837
156	6550	1794
157	6591	1752
158	6627	1708
159	6667	1666
160	6709	1625
161	6747	1582
162	6784	1539
163	6820	1497
164	6856	1454
165	6895	1412
166	6936	1370
167	6977	1328
168	7016	1287
169	7054	1244
170	7093	1203
171	7132	1161
172	7168	1118
173	7204	1076
174	7240	1034
175	7278	992
176	7315	950
177	7349	908
178	7385	866
179	7422	824
180	7458	782
181	7495	741
182	7532	699
183	7566	657
184	7600	616
185	7634	574
186	7668	533
187	7702	491
188	7738	450
189	7773	409
190	7805	367
191	7838	326
192	7872	285
193	7904	244
194	7936	203
195	7969	162
196	8002	121
197	8034	81
198	8070	40
199	8104	0
